Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2020/04/10 00:00:00+00,0,1,9,75,76,60,46,33,12,9,0,1,1,12,85,78,69,64,33,18,7,0,1,2,21,160,154,129,110,66,30,16,0,321,368,1,0,0,0,0,0,0,0,0,1,Past,,
2020/04/11 00:00:00+00,0,1,10,81,83,61,52,34,17,11,0,1,2,12,85,85,75,69,36,19,9,0,1,3,22,166,168,136,121,70,36,20,0,350,393,743,0,0,0,0,0,0,0,0,2,Past,,
2020/04/12 00:00:00+00,17,1,10,81,83,59,52,36,16,11,0,10,2,12,85,85,76,68,38,19,10,0,28,3,22,167,168,136,120,74,35,21,0,366,405,0,0.05,0.09,0.8,0.02,0.03,0.63,0.36,0.01,3,Past,,
2020/04/13 00:00:00+00,0,1,9,85,89,69,62,45,17,13,0,1,2,13,91,90,83,74,42,20,10,0,1,3,22,177,180,154,138,87,37,23,0,390,426,0,0.04,0.1,0.78,0.04,0.03,0.62,0.37,0.02,4,Past,,
2020/04/14 00:00:00+00,0,1,9,91,97,71,65,49,19,13,0,1,2,12,95,97,86,77,46,20,11,0,1,3,21,187,195,159,144,95,39,24,0,415,447,0,0.04,0.1,0.76,0.06,0.04,0.6,0.39,0.02,5,Past,,
2020/04/15 00:00:00+00,0,1,11,92,106,80,79,57,24,21,0,1,2,12,104,107,91,86,57,26,15,0,1,3,23,197,213,173,167,114,50,36,0,471,501,0,0.04,0.1,0.76,0.05,0.04,0.59,0.4,0.02,6,Past,,
2020/04/16 00:00:00+00,1,1,11,96,112,91,85,60,26,22,0,2,2,15,106,112,96,89,57,30,15,0,3,3,26,202,224,187,174,117,56,37,0,505,524,0,0.04,0.1,0.76,0.06,0.04,0.56,0.41,0.02,7,Past,,
2020/04/17 00:00:00+00,1,2,13,101,113,93,88,63,27,24,0,3,2,16,109,119,99,94,61,31,15,0,4,4,29,210,232,192,182,124,58,39,0,525,549,0,0.04,0.09,0.74,0.08,0.05,0.56,0.41,0.04,8,Past,,
2020/04/18 00:00:00+00,1,2,13,101,119,95,90,65,27,24,0,3,2,16,109,121,101,94,62,31,16,0,4,4,29,210,240,196,184,127,58,40,0,537,555,0,0.04,0.1,0.73,0.08,0.05,0.55,0.41,0.04,9,Past,,
2020/04/19 00:00:00+00,1,2,13,101,121,95,92,68,27,26,0,3,2,15,110,125,103,94,63,31,16,0,4,4,28,211,246,198,186,131,58,42,0,546,562,0,0.04,0.1,0.73,0.08,0.05,0.55,0.41,0.04,10,Past,,
2020/04/20 00:00:00+00,2,3,14,103,133,99,96,73,32,30,0,3,3,15,115,129,105,99,67,36,17,0,5,6,29,218,262,204,195,140,68,47,0,585,589,0,0.04,0.1,0.73,0.08,0.05,0.54,0.42,0.04,11,Past,,
2020/04/21 00:00:00+00,3,5,14,106,136,109,97,77,32,31,0,3,4,19,121,138,112,102,69,37,17,1,6,9,33,227,274,221,199,146,69,48,1,610,623,1,0.04,0.1,0.73,0.08,0.04,0.51,0.45,0.04,12,Past,,
2020/04/22 00:00:00+00,3,4,16,109,139,113,99,79,33,32,0,3,4,19,122,142,116,103,71,37,17,1,6,8,35,231,281,229,202,150,71,49,1,627,635,1,0.03,0.1,0.73,0.08,0.05,0.51,0.45,0.04,13,Past,,
2020/04/23 00:00:00+00,3,4,17,115,142,114,101,84,37,38,0,3,4,19,125,148,118,108,73,40,17,1,6,8,36,241,290,232,209,157,77,55,1,655,656,1,0.03,0.1,0.74,0.08,0.04,0.5,0.46,0.03,14,Past,,
2020/04/24 00:00:00+00,3,4,17,123,148,116,111,89,41,42,0,3,4,19,132,154,121,111,76,42,22,1,6,8,36,255,302,237,222,165,83,64,1,694,685,1,0.03,0.1,0.74,0.08,0.04,0.5,0.47,0.03,15,Past,0.003,0.001
2020/04/25 00:00:00+00,3,4,17,123,148,117,113,90,43,44,0,3,4,19,131,157,123,113,78,43,22,1,6,8,36,254,305,240,226,168,86,66,1,702,694,1,0.03,0.1,0.74,0.08,0.05,0.49,0.46,0.04,16,Past,0.003,0.001
2020/04/26 00:00:00+00,3,4,18,124,152,121,114,88,43,46,0,3,4,19,133,157,124,114,79,43,22,1,6,8,37,257,309,245,228,167,86,68,1,713,699,1,0.03,0.1,0.73,0.09,0.05,0.49,0.46,0.05,17,Past,0.003,0.001
2020/04/27 00:00:00+00,3,4,19,135,157,124,118,92,45,47,0,2,4,20,140,163,128,116,81,43,23,0,5,8,39,275,320,242,234,173,88,70,0,744,720,0,0.03,0.09,0.72,0.09,0.07,0.48,0.46,0.06,18,Past,0.003,0.001
2020/04/28 00:00:00+00,3,5,23,141,164,133,122,94,48,49,0,3,6,21,148,168,133,121,86,44,27,0,6,11,44,289,332,266,243,180,92,76,0,782,757,0,0.03,0.09,0.71,0.09,0.08,0.47,0.46,0.07,19,Past,0.003,0.001
2020/04/29 00:00:00+00,3,5,24,145,170,135,128,96,49,50,0,3,7,23,155,176,135,125,89,45,28,0,6,12,47,300,346,270,253,185,94,78,0,805,786,0,0.03,0.09,0.71,0.09,0.08,0.47,0.46,0.07,20,Past,0.003,0.001
2020/04/30 00:00:00+00,4,5,25,153,178,140,136,97,50,51,0,4,7,25,158,185,140,130,92,45,29,0,8,12,50,311,363,280,266,189,95,80,0,839,815,0,0.03,0.09,0.72,0.09,0.08,0.46,0.47,0.07,21,Past,0.003,0.001
2020/05/01 00:00:00+00,4,5,25,157,174,142,139,98,53,55,0,5,7,25,158,189,142,130,95,48,30,0,9,12,50,315,363,284,269,193,102,85,0,852,829,0,0.03,0.09,0.72,0.08,0.08,0.46,0.47,0.07,22,Past,0.003,0.001
2020/05/02 00:00:00+00,4,5,25,161,173,146,141,100,60,56,0,5,7,25,159,193,148,131,96,48,31,0,9,12,50,320,366,296,272,196,108,87,0,871,843,0,0.03,0.09,0.72,0.08,0.08,0.46,0.47,0.07,23,Past,0.003,0.001
2020/05/03 00:00:00+00,4,5,25,164,176,152,142,101,60,60,0,5,7,26,162,200,154,135,99,48,31,0,9,12,51,326,376,306,277,200,108,91,0,889,867,0,0.03,0.09,0.72,0.08,0.09,0.45,0.47,0.08,24,Past,0.003,0.001
2020/05/04 00:00:00+00,4,5,27,171,178,155,143,104,60,64,0,5,8,29,173,206,161,140,100,49,34,0,9,13,56,344,384,316,283,204,109,98,0,911,905,0,0.03,0.09,0.72,0.08,0.08,0.45,0.47,0.08,25,Past,0.003,0.001
2020/05/05 00:00:00+00,4,7,29,176,185,162,146,106,61,66,0,5,8,30,185,209,164,145,103,50,35,0,9,15,59,361,394,326,291,209,111,101,0,942,934,0,0.03,0.09,0.72,0.08,0.08,0.45,0.47,0.08,26,Past,0.003,0.001
2020/05/06 00:00:00+00,5,7,30,182,191,168,148,109,62,75,0,5,8,35,192,219,169,150,103,52,36,0,10,15,65,374,410,337,298,212,114,111,0,977,969,0,0.03,0.09,0.72,0.09,0.08,0.44,0.48,0.08,27,Past,0.003,0.001
2020/05/07 00:00:00+00,5,7,30,187,195,172,150,110,62,84,0,5,8,36,194,223,180,155,107,54,38,0,10,15,66,381,418,352,305,217,116,122,0,1002,1000,0,0.03,0.08,0.71,0.09,0.08,0.43,0.49,0.09,28,Past,0.003,0.001
2020/05/08 00:00:00+00,5,7,32,193,202,177,156,111,62,85,0,5,8,39,205,236,186,159,109,56,38,0,10,15,71,398,438,363,315,220,118,123,0,1030,1041,0,0.03,0.08,0.71,0.09,0.08,0.42,0.49,0.08,29,Past,0.003,0.001
2020/05/09 00:00:00+00,5,7,33,195,204,177,157,111,63,85,0,5,8,39,209,242,190,161,108,57,38,0,10,15,72,404,446,367,318,219,120,124,0,1037,1057,0,0.03,0.08,0.71,0.09,0.08,0.42,0.5,0.09,30,Past,0.003,0.001
2020/05/10 00:00:00+00,5,9,34,196,206,180,160,113,62,85,0,5,8,39,214,247,196,164,108,57,39,0,10,17,73,410,453,376,324,221,119,124,0,1050,1077,0,0.03,0.08,0.72,0.09,0.08,0.42,0.5,0.08,31,Past,0.003,0.001
2020/05/11 00:00:00+00,5,9,36,205,210,180,163,113,65,87,0,6,8,41,218,253,197,168,109,58,4,0,11,17,77,423,463,377,331,222,123,127,0,1073,1098,0,0.03,0.08,0.72,0.09,0.08,0.41,0.51,0.08,32,Past,0.003,0.001
2020/05/12 00:00:00+00,5,11,38,210,218,184,167,113,67,89,0,6,8,42,220,261,206,172,115,61,41,0,11,19,80,430,480,390,339,228,128,130,0,1102,1132,0,0.03,0.08,0.72,0.09,0.08,0.41,0.51,0.08,33,Past,0.003,0.001
2020/05/12 00:00:00+00,5,11,38,210,218,184,167,113,67,89,0,6,8,42,220,261,206,172,115,61,41,0,11,19,80,430,480,390,339,228,128,130,0,1102,1132,0,0.03,0.08,0.72,0.09,0.08,0.41,0.51,0.08,34,Past,0.003,0.001
2020/05/13 00:00:00+00,5,11,39,214,222,190,175,115,70,92,0,6,9,46,226,268,208,172,115,63,42,0,11,20,85,440,490,398,347,230,133,134,0,1133,1155,0,0.03,0.08,0.72,0.09,0.08,0.41,0.51,0.08,35,Past,0.003,0.001
2020/05/14 00:00:00+00,5,11,38,216,230,195,182,116,75,92,0,6,9,50,234,274,211,177,118,64,42,0,11,20,88,450,504,406,359,234,139,134,0,1160,1185,0,0.03,0.08,0.72,0.09,0.08,0.4,0.51,0.09,36,Past,0.003,0.001
2020/05/15 00:00:00+00,5,11,38,220,239,198,185,116,75,92,0,6,10,51,236,279,213,180,118,67,42,0,11,21,89,456,518,411,365,234,142,134,0,1179,1202,0,0.03,0.08,0.71,0.09,0.09,0.4,0.51,0.09,37,Past,0.003,0.001
2020/05/16 00:00:00+00,5,13,38,223,246,205,190,117,75,92,0,6,10,53,243,285,216,180,119,67,42,0,11,23,91,466,531,421,370,236,142,134,0,1204,1221,0,0.03,0.08,0.71,0.09,0.08,0.39,0.52,0.09,38,Past,0.003,0.001
2020/05/17 00:00:00+00,5,13,39,224,248,206,192,119,75,92,0,6,10,57,252,291,217,182,122,67,42,0,11,23,96,476,539,423,374,241,142,134,0,1213,1246,0,0.03,0.08,0.71,0.09,0.09,0.39,0.53,0.08,39,Past,0.003,0.001
2020/05/18 00:00:00+00,5,14,40,234,252,216,198,120,76,92,0,6,11,60,264,303,222,186,128,67,42,0,10,25,100,498,555,438,384,248,144,134,0,1247,1289,1,0.03,0.08,0.72,0.09,0.08,0.38,0.53,0.08,40,Past,0.003,0.001
2020/05/19 00:00:00+00,5,14,41,242,261,221,198,121,78,92,0,6,14,65,268,309,228,188,131,70,43,0,11,28,106,510,570,449,386,252,148,135,0,1273,1322,0,0.03,0.08,0.72,0.09,0.08,0.38,0.54,0.08,41,Past,0.003,0.001
2020/05/20 00:00:00+00,6,14,42,249,266,228,199,126,79,96,0,6,15,65,272,309,234,190,132,70,44,0,12,29,107,522,575,462,389,258,150,140,0,1305,1337,2,0.028,0.078,0.711,0.092,0.088,0.38,0.54,0.09,42,Past,0.003,0.001
2020/05/21 00:00:00+00,6,14,44,253,276,235,201,132,84,101,0,6,16,69,277,313,238,195,135,71,44,0,12,30,113,531,589,473,396,267,156,145,0,1346,1364,2,0.028,0.077,0.712,0.093,0.087,0.37,0.54,0.09,43,Past,0.003,0.001
2020/05/22 00:00:00+00,6,14,45,256,277,238,201,131,89,103,0,6,17,73,285,320,242,204,136,74,44,0,12,31,118,541,597,480,405,267,163,147,0,1360,1401,0,0.028,0.076,0.71,0.094,0.089,0.37,0.54,0.09,44,Past,0.003,0.001
2020/05/23 00:00:00+00,6,14,50,257,284,244,206,131,89,103,0,6,17,73,288,322,242,203,135,74,44,0,12,31,123,545,606,486,409,266,163,147,0,1384,1404,0,0.028,0.075,0.705,0.096,0.1,0.36,0.54,0,45,Past,0.003,0.001
2020/05/24 00:00:00+00,5,14,57,266,289,251,206,132,89,103,0,6,20,74,294,327,250,209,137,74,44,0,11,34,131,560,616,501,415,269,163,147,0,1412,1435,0,0.028,0.075,0.704,0.099,0.092,0.36,0.54,0.09,46,Past,0.003,0.001
2020/05/25 00:00:00+00,5,15,59,275,299,259,212,133,91,103,0,6,20,76,306,338,258,217,141,75,44,0,11,35,135,581,637,517,429,274,166,147,1,1451,1481,0,0.028,0.075,0.707,0.098,0.089,0.36,0.55,0.09,47,Past,0.003,0.001
2020/05/26 00:00:00+00,5,17,60,280,304,262,216,135,93,104,0,6,20,77,316,343,262,221,143,75,45,0,11,37,137,596,647,524,437,278,168,149,0,1476,1508,0,0.028,0.074,0.704,0.096,0.095,0.35,0.55,0.1,48,Past,0.003,0.001
2020/05/27 00:00:00+00,5,18,61,294,310,265,219,137,96,105,0,6,22,79,321,355,271,226,143,76,48,0,11,40,140,615,665,536,445,280,172,153,0,1510,1547,0,0.027,0.071,0.683,0.095,0.122,0.34,0.54,0.12,49,Past,0.003,0.001
2020/05/28 00:00:00+00,6,20,66,303,318,272,223,139,98,106,0,7,23,83,330,361,273,229,143,76,48,0,13,43,149,633,679,545,452,282,174,154,0,1551,1573,0,0.027,0.071,0.684,0.096,0.119,0.34,0.55,0.11,50,Past,0.003,0.001
2020/05/29 00:00:00+00,6,23,68,315,323,278,225,139,99,107,0,7,26,84,341,365,279,232,144,76,48,0,13,49,152,657,688,557,457,283,175,155,0,1583,1602,1,0.027,0.071,0.687,0.096,0.117,0.34,0.55,0.11,51,Past,0.003,0.001
2020/05/30 00:00:00+00,6,23,70,323,328,279,229,140,101,107,0,7,27,88,348,370,281,235,145,77,47,0,13,50,158,672,698,560,464,285,178,154,0,1606,1625,1,0.02,0.06,0.68,0.09,0.11,0.33,0.54,0.11,52,Past,0.003,0.001
2020/05/31 00:00:00+00,6,23,73,326,341,282,230,141,101,107,0,7,27,89,353,373,288,236,146,76,47,0,13,50,162,679,714,570,466,287,177,154,0,1630,1642,1,0.02,0.06,0.68,0.9,0.12,0.33,0.55,0.11,53,Past,0.003,0.001
2020/06/01 00:00:00+00,6,27,74,338,354,297,237,143,101,107,0,7,29,91,359,380,294,241,149,77,47,0,13,56,165,697,735,591,478,292,178,154,0,1684,1674,1,0.025,0.068,0.685,0.1,0.118,0.33,0.56,0.11,54,Past,0.003,0.001
2020/06/02 00:00:00+00,6,28,77,350,365,307,243,145,101,107,0,7,31,93,366,386,301,245,151,76,47,0,13,59,170,716,752,608,488,296,177,154,0,1729,1703,1,0.025,0.068,0.686,0.101,0.117,0.33,0.56,0.11,55,Past,0.003,0.001
2020/06/03 00:00:00+00,6,29,78,359,369,313,247,147,101,108,0,8,34,95,379,397,305,250,151,77,47,0,14,63,173,738,767,618,497,298,178,155,0,1757,1743,1,0.025,0.067,0.683,0.099,0.123,0.32,0.56,0.12,56,Past,0.003,0.001
2020/06/04 00:00:00+00,7,29,79,363,379,319,250,148,102,108,0,8,36,98,387,405,311,255,153,78,47,0,15,65,177,750,784,630,505,301,180,155,0,1784,1778,0,0.025,0.068,0.685,0.098,0.121,0.32,0.56,0.12,57,Past,0.003,0.001
2020/06/05 00:00:00+00,7,32,82,368,387,325,252,149,102,109,0,8,36,102,393,409,317,255,57,79,47,0,15,68,184,761,796,642,507,306,181,156,0,1813,1803,0,0.024,0.067,0.688,0.098,0.12,0.31,0.57,0.11,58,Past,0.003,0.001
2020/06/06 00:00:00+00,7,34,84,374,390,330,253,151,103,109,0,8,37,105,398,418,322,256,157,79,47,0,15,71,189,772,808,652,509,308,182,156,0,1835,1827,0,0.024,0.066,0.684,0.098,0.125,0.31,0.57,0.12,59,Past,0.003,0.001
2020/06/07 00:00:00+00,7,34,85,383,393,332,253,151,104,109,0,8,37,106,402,423,327,258,159,79,47,0,15,71,191,785,816,659,511,310,183,156,0,1851,1846,0,0.024,0.065,0.68,0.099,0.128,0.3,0.57,0.122,60,Past,0.003,0.001
2020/06/08 00:00:00+00,8,35,94,401,411,343,258,156,104,109,0,8,37,110,416,434,337,261,162,81,48,0,16,72,204,818,846,680,519,318,185,157,0,1919,1894,2,0.024,0.065,0.68,0.1,0.129,0.3,0.58,0.12,61,Past,0.003,0.001
2020/06/09 00:00:00+00,9,39,99,427,426,352,262,161,107,109,0,8,44,118,438,447,359,267,167,83,52,0,17,83,217,866,874,711,529,328,190,161,0,1991,1983,2,0.024,0.065,0.686,0.103,0.119,0.3,0.59,0.11,62,Past,0.003,0.001
2020/06/10 00:00:00+00,9,39,107,446,438,362,268,165,108,111,0,8,48,122,457,454,377,276,168,87,57,0,17,87,229,904,893,739,544,333,195,168,0,2053,2054,2,0.024,0.064,0.688,0.102,0.119,0.3,0.59,0.11,63,Past,0.003,0.001
2020/06/11 00:00:00+00,9,39,109,470,455,374,277,166,109,111,0,8,49,128,470,473,386,284,170,90,59,0,17,88,237,941,929,760,561,336,199,170,0,2119,2117,2,0.024,0.065,0.689,0.102,0.118,0.3,0.59,0.11,64,Past,0.003,0.001
2020/06/12 00:00:00+00,9,39,111,483,462,374,280,167,113,113,0,8,50,131,486,491,389,286,171,90,59,0,17,89,242,970,954,763,566,338,203,172,0,2151,2161,2,0.024,0.064,0.689,0.101,0.118,0.3,0.59,0.11,65,Past,0.003,0.001
2020/06/13 00:00:00+00,9,43,116,509,468,391,284,172,114,113,0,9,55,138,507,504,407,293,177,90,60,0,18,98,254,1017,973,798,577,349,204,173,0,2219,2240,2,0.024,0.063,0.681,0.101,0.129,0.29,0.59,0.12,66,Past,0.003,0.001
2020/06/14 00:00:00+00,9,44,122,525,473,393,286,174,114,113,0,10,55,142,533,515,413,295,177,90,60,0,19,99,264,1059,989,806,581,351,204,173,0,2253,2290,2,0.024,0.063,0.681,0.1,0.129,0.29,0.59,0.12,67,Past,0.003,0.001
2020/06/15 00:00:00+00,10,46,125,547,478,401,290,179,115,114,0,10,57,145,554,531,426,305,178,91,61,0,20,103,270,1101,1010,827,595,357,206,175,0,2305,2358,1,0.024,0.062,0.683,0.099,0.128,0.29,0.6,0.12,68,Past,0.003,0.001
2020/06/16 00:00:00+00,11,51,126,560,491,405,295,179,120,117,0,11,57,148,572,548,432,312,181,93,61,0,22,108,274,1132,1040,837,607,360,213,178,0,2355,2415,1,0.025,0.062,0.684,0.099,0.127,0.29,0.6,0.11,69,Past,0.003,0.001
2020/06/17 00:00:00+00,11,55,141,589,524,411,310,186,121,117,0,11,60,155,608,585,453,318,181,94,61,0,22,115,296,1197,1109,864,628,367,215,178,0,2465,2526,0,0.024,0.062,0.677,0.098,0.136,0.28,0.6,0.12,70,Past,0.003,0.001
2020/06/19 00:00:00+00,11,57,154,639,561,428,322,195,125,123,0,12,62,168,645,620,483,331,192,96,62,0,23,119,322,1284,1181,911,653,387,221,185,0,2615,2671,0,0.024,0.062,0.675,0.096,0.14,0.284,0.599,0.116,71,Past,0.003,0.001
2020/06/20 00:00:00+00,13,63,165,726,606,451,340,206,127,124,0,13,66,178,730,675,509,346,203,98,64,0,26,129,343,1456,1281,960,686,409,225,188,1,2821,2882,0,0.024,0.063,0.668,0.094,0.0148,0.283,0.593,0.12,72,Past,0.003,0.001
2020/06/21 00:00:00+00,13,67,184,820,673,486,357,212,129,130,0,13,75,195,803,736,546,379,214,100,65,0,26,142,380,1631,1409,1034,736,426,229,195,1,3071,3126,13,0.023,0.062,0.663,0.092,0.157,0.28,0.59,0.13,73,Past,0.003,0.001
2020/06/22 00:00:00+00,14,67,187,853,681,492,359,213,128,131,0,13,77,196,823,764,560,383,216,103,65,0,27,144,384,1685,1446,1054,742,429,231,196,1,3125,3200,13,0.023,0.061,0.662,0.091,0.159,0.28,0.59,0.13,74,Past,0.003,0.001
2020/06/23 00:00:00+00,14,71,199,903,707,511,374,218,134,135,0,14,81,207,868,787,580,392,220,104,65,0,28,152,407,1778,1495,1093,766,438,238,200,1,3266,3318,12,0.023,0.062,0.664,0.092,0.156,0.28,0.59,0.12,75,Past,0.003,0.001
2020/06/24 00:00:00+00,14,79,212,961,743,532,394,223,138,136,0,14,85,218,917,827,603,409,226,106,65,0,28,164,431,1885,1571,1137,803,449,244,201,1,3432,3470,12,0.023,0.061,0.671,0.09,0.152,0.28,0.59,0.12,76,Past,0.003,0.001
2020/06/25 00:00:00+00,15,82,222,991,761,546,399,228,139,140,0,15,90,224,947,851,616,418,232,108,65,0,30,172,446,1943,1613,1163,817,460,247,205,1,3523,3566,8,0.023,0.061,0.673,0.089,0.15,0.29,0.59,0.12,77,Past,0.003,0.001
2020/06/27 00:00:00+00,20,89,243,1104,847,612,428,253,145,145,0,19,97,252,1044,913,679,455,253,111,66,0,39,186,502,2163,1770,1301,888,508,256,211,0,3886,3890,1,0.025,0.059,0.65,0.099,0.163,0.29,0.547,0.154,78,Past,0.003,0.001
2020/06/28 00:00:00+00,21,97,269,1227,927,660,456,266,149,150,0,21,102,270,1150,994,727,487,267,121,66,1,42,200,540,2392,1928,1391,946,535,270,216,1,4222,4206,33,0.025,0.059,0.649,0.099,0.165,0.298,0.546,0.156,79,Past,0.003,0.001
2020/06/29 00:00:00+00,23,102,287,1305,989,684,474,277,154,154,0,22,105,278,1230,1054,768,515,278,125,69,1,46,209,569,2567,2059,1463,996,557,279,223,0,4449,4445,75,0.024,0.058,0.639,0.096,0.179,0.29,0.541,0.169,80,Past,0.003,0.001
2020/06/30 00:00:00+00,25,106,312,1382,1048,728,503,287,159,159,0,23,114,307,1308,1117,814,556,287,131,73,1,49,222,623,2732,2182,1553,1066,576,291,232,1,4709,4731,87,0.025,0.059,0.64,0.096,0.176,0.293,0.542,0.165,81,Past,0.003,0.001
2020/07/01 00:00:00+00,25,111,328,1469,1118,768,536,303,166,165,0,24,121,321,1409,1193,873,592,307,137,74,1,50,234,653,2917,2325,1652,1135,612,303,239,1,4989,5051,83,0.025,0.058,0.631,0.096,0.186,0.29,0.537,0.173,82,Past,0.003,0.001
2020/07/02 00:00:00+00,25,118,351,1557,1173,805,574,322,180,177,0,26,131,339,1486,1241,921,615,329,147,78,1,52,251,696,3087,2431,1737,1196,653,327,255,0,5282,5314,9,0.024,0.058,0.624,0.095,0.194,0.291,0.532,0.177,83,Past,0.003,0.001
2020/07/03 00:00:00+00,24,129,377,1618,1194,836,600,327,179,179,0,28,134,357,1521,1255,951,644,332,149,81,1,53,265,740,3186,2466,1798,1251,661,328,260,1,5463,5453,93,0.024,0.059,0.621,0.096,0.197,0.292,0.529,0.178,84,Past,0.003,0.001
2020/07/04 00:00:00+00,24,130,383,1634,1200,852,608,333,183,179,0,28,136,359,1542,1273,965,658,338,152,84,1,53,268,746,2113,2488,1823,1269,672,335,263,1,5526,5536,69,0.024,0.059,0.619,0.00969,0.196,0.295,0.527,0.178,85,Past,0.003,0.001
2020/07/05 00:00:00+00,25,135,410,1709,1266,904,639,348,196,185,0,30,142,377,1636,1340,1007,685,348,157,85,1,56,279,790,3378,2614,1916,1326,696,353,270,1,5817,5807,54,0.024,0.06,0.614,0.097,0.201,0.296,0.522,0.182,86,Past,0.003,0.001
2020/07/06 00:00:00+00,26,139,423,1740,1292,921,653,358,210,199,0,30,146,381,1655,1359,1024,702,361,162,91,1,57,287,807,3425,2660,1950,1357,720,372,290,1,5961,5912,53,0.024,0.061,0.611,0.098,0.203,0.298,0.521,0.181,87,Past,0.003,0.001
2020/07/07 00:00:00+00,27,142,435,1810,1336,961,685,371,222,213,0,30,154,393,1720,1410,1067,728,385,169,95,1,58,298,831,3560,2755,2033,1415,757,392,308,1,6202,6152,54,0.024,0.061,0.608,0.108,0.2025,0.299,0.52,0.181,88,Past,0.003,0.001
2020/07/08 00:00:00+00,28,153,486,1899,1398,1029,728,404,244,229,0,30,165,423,1814,1477,1127,767,415,185,101,1,59,320,912,3746,2885,2161,1496,820,430,330,1,6598,6505,58,0.024,0.061,0.603,0.102,0.208,0.3,0.514,0.185,89,Past,0.003,0.001
2020/07/09 00:00:00+00,29,163,511,1994,1472,1091,785,427,255,242,0,31,172,450,1889,1536,1194,823,437,197,111,1,60,336,965,3914,3018,2290,1609,865,453,353,1,6969,6841,54,0.024,0.061,0.602,0.103,0.207,0.304,0.511,0.185,90,Past,0.003,0.001
2020/07/10 00:00:00+00,30,173,536,2061,1513,1128,813,444,258,248,0,31,184,479,1925,1574,1222,843,450,212,114,1,61,358,1020,4019,3102,2356,1659,894,472,362,1,7204,7035,65,0.023,0.061,0.603,0.106,0.202,0.307,0.512,0.181,91,Past,0.003,0.001
2020/07/11 00:00:00+00,30,179,552,2109,1555,1157,827,450,268,252,0,33,190,490,1979,1615,1238,863,456,222,118,1,63,370,1044,4108,3180,2397,1690,906,491,370,1,7379,7205,38,0.024,0.063,0.604,0.106,0.2,0.31,0.511,0.179,92,Past,0.003,0.001
2020/07/12 00:00:00+00,30,180,559,2128,1571,1170,839,454,269,255,0,33,192,496,2015,1635,1248,873,459,227,120,1,63,374,1057,4159,3215,2420,1712,913,497,375,1,7455,7299,34,0.024,0.063,0.604,0.107,0.198,0.31,0.51,0.177,93,Past,0.003,0.001
2020/07/13 00:00:00+00,32,189,600,2212,1654,1230,871,470,270,256,0,37,206,525,2091,1689,1312,897,477,233,124,1,73,410,1144,4318,3353,2545,1768,948,504,380,2,7784,7592,69,0.025,0.057,0.596,0.111,0.208,0.294,0.526,0.18,94,Past,0.003,0.001
2020/07/14 00:00:00+00,33,201,631,2277,1716,1273,904,490,278,263,0,40,214,551,2153,1750,1354,931,494,243,127,1,77,431,1200,4446,3477,2630,1837,984,524,390,2,8066,7858,74,0.024,0.056,0.597,0.113,0.206,0.295,0.527,0.178,95,Past,0.003,0.001
2020/07/15 00:00:00+00,35,206,661,2358,1782,1315,948,509,288,278,0,43,218,571,2210,1797,1387,969,520,258,141,1,82,440,1250,4583,3592,2705,1918,1029,550,419,2,8380,8115,75,0.025,0.057,0.597,0.113,0.206,0.295,0.527,0.178,96,Past,0.003,0.001
2020/07/16 00:00:00+00,35,210,683,2398,1832,1359,973,530,295,285,0,42,221,599,2242,1844,1426,995,529,267,147,1,81,448,1299,4651,3689,2787,1969,1059,566,432,2,8600,8313,70,0.024,0.059,0.596,0.115,0.202,0.3,0.527,0.174,97,Past,0.003,0.001
2020/07/17 00:00:00+00,35,212,687,2432,1853,1384,986,538,302,291,0,44,226,612,2268,1868,1439,1004,538,272,149,1,83,455,1316,4714,3733,2825,1993,1076,578,440,2,8720,8421,47,0.026,0.06,0.59,0.118,0.203,0.3,0.527,0.173,98,Past,0.003,0.001
2020/07/18 00:00:00+00,35,214,691,2461,1892,1408,1004,545,305,291,0,44,226,622,2306,1883,1467,1011,549,273,150,0,83,457,1330,4781,3788,2877,2018,1095,582,441,2,8846,8532,76,0.026,0.63,0.588,0.119,0.201,0.302,0.525,0.172,99,Past,0.003,0.001
2020/07/19 00:00:00+00,35,215,703,2496,1910,1421,1015,552,310,291,0,44,229,626,2336,1901,1482,1020,555,275,152,1,83,461,1346,4847,3824,2905,2038,1108,589,443,2,8948,8621,77,0.026,0.064,0.587,0.119,0.2,0.303,0.524,0.172,100,Past,0.003,0.001
